,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
374,Single Family,1977,Forced air,Central,6 spaces,None,$208,"$425,000", 3, 3, 2, 1,1202-Space-Ln-Austin-TX-78758,https://www.zillow.com/homedetails/1202-Space-Ln-Austin-TX-78758/58304386_zpid/,"9,801 sqft"
375,Condo,1978,"Forced air, Heat pump, Electric",Central,2 spaces,$246/mo,$240,"$550,000", 3, 3, 2, 1,8402-Cima-Serena-Ct-Austin-TX-78759,https://www.zillow.com/homedetails/8402-Cima-Serena-Ct-Austin-TX-78759/29430798_zpid/,
376,Single Family,2020,Electric,Central,Off street,$175/month,$369,"$553,000", 2, 3, 2, 1,https:,https://www.zillow.com/community/lucy/2079893089_zpid/,No Data
377,Condo,1986,"Forced air, Electric",Central,1 space,$275/mo,$252,"$130,000", 1, 1, 1,,12166-Metric-Blvd-APT-231-Austin-TX-78758,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-231-Austin-TX-78758/80093067_zpid/,
378,Single Family,2020,No Data,No Data,2 spaces,,$162,"$470,491", 5, 4, 3, 1,232-Espresso-Dr-Austin-TX-78728,https://www.zillow.com/homedetails/232-Espresso-Dr-Austin-TX-78728/2077722516_zpid/,No Data
379,Single Family,2020,No Data,No Data,2 spaces,,$197,"$429,401", 3, 3, 2, 1,504-Ayinger-Ln-Austin-TX-78728,https://www.zillow.com/homedetails/504-Ayinger-Ln-Austin-TX-78728/2077722515_zpid/,No Data
380,Single Family,2020,No Data,No Data,3 spaces,,$152,"$522,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/parten-85s/2079456694_zpid/,No Data
381,Single Family,2020,No Data,No Data,No Data,,$57,"$95,995", 3, 2, 2,,https:,https://www.zillow.com/community/oak-crest/2077969172_zpid/,No Data
382,Single Family,2006,"Forced air, Electric",Central,6 spaces,,$188,"$359,900", 4, 3, 2, 1,8801-Meridian-Oak-Ln-Austin-TX-78744,https://www.zillow.com/homedetails/8801-Meridian-Oak-Ln-Austin-TX-78744/70343531_zpid/,"5,183 sqft"
383,Single Family,No Data,No Data,No Data,2 spaces,,$157,"$397,990", 5, 4, 4,,https:,https://www.zillow.com/community/malone/2083639662_zpid/,No Data
384,Single Family,2020,No Data,No Data,2 spaces,,$171,"$301,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2080028661_zpid/,No Data
385,Single Family,No Data,No Data,No Data,3 spaces,,$179,"$581,990", 4, 3, 3,,https:,https://www.zillow.com/community/parten/2079036323_zpid/,No Data
386,Single Family,No Data,No Data,No Data,2 spaces,,$147,"$268,990", 4, 2, 2,,https:,https://www.zillow.com/community/forest-bluff/2077808912_zpid/,No Data
387,Single Family,2020,No Data,No Data,2 spaces,,$255,"$425,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/presidio-station-cottages/2079474952_zpid/,No Data
388,Single Family,2020,No Data,No Data,2 spaces,,$181,"$293,990", 4, 2, 2,,https:,https://www.zillow.com/community/colorado-crossing-cottage-collection/2083968480_zpid/,No Data
389,Single Family,No Data,No Data,No Data,2 spaces,,$263,"$489,990", 2, 3, 2, 1,https:,https://www.zillow.com/community/avana-alviso-50-homesites/2080064428_zpid/,No Data
390,Single Family,1906,"Wall, Electric",Wall,No Data,,"$1,136","$450,000", 1, 1, 1,,1105-Holly-St-UNIT-2-Austin-TX-78702,https://www.zillow.com/homedetails/1105-Holly-St-UNIT-2-Austin-TX-78702/2077725151_zpid/,"4,168 sqft"
391,Single Family,1997,Forced air,"Central, Wall",2 spaces,$37/month,$161,"$467,777", 4, 3, 2, 1,13416-Caballero-Cv-Austin-TX-78727,https://www.zillow.com/homedetails/13416-Caballero-Cv-Austin-TX-78727/29445285_zpid/,0.3 acres
392,Townhouse,No Data,No Data,No Data,2 spaces,,$291,"$1,150,000", 4, 5, 5,,https:,https://www.zillow.com/community/grove/2079117332_zpid/,No Data
